timestamp_ms,sensor,x,y,z
1776581777934,accel,0.19280806183815002,9.488446235656738,2.736048698425293
1776581777935,gyro,0.0018485834589228034,0.014388973824679852,-0.053292494267225266
1776581777935,accel,0.6648398637771606,8.986186981201172,3.31005859375
1776581777935,gyro,0.014772013761103153,-0.018552450463175774,0.002431470202282071
1776581777935,accel,0.4192845821380615,9.336788177490234,3.8073792457580566
1776581777935,accel,0.1280897855758667,9.497050285339355,3.5418472290039062
1776581777935,accel,-0.0909048467874527,9.421258926391602,3.1607203483581543
1776581777935,accel,-0.16332945227622986,9.50393295288086,2.822913408279419
1776581777935,accel,-0.12060791254043579,9.544111251831055,2.3585879802703857
1776581777935,accel,0.10130465775728226,9.614215850830078,2.111237049102783
1776581777935,accel,0.1818096935749054,9.596858024597168,2.2391772270202637
1776581777935,accel,0.10407295823097229,9.492935180664062,2.5429415702819824
1776581777935,accel,0.05364508181810379,9.409213066101074,2.8600234985351562
1776581777935,accel,0.0727986991405487,9.326911926269531,3.0972740650177
1776581777935,accel,0.12090718746185303,9.215058326721191,3.265167474746704
1776581777935,accel,0.13833996653556824,9.182361602783203,3.368941068649292
1776581777935,accel,0.10377368330955505,9.189619064331055,3.350984573364258
1776581777935,accel,0.08536825329065323,9.186701774597168,3.20867919921875
1776581777935,accel,0.0454898327589035,9.299603462219238,3.068319082260132
1776581777935,accel,-0.057236384600400925,9.381903648376465,2.8367550373077393
1776581777935,accel,-0.1156698688864708,9.455974578857422,2.5730934143066406
1776581777935,accel,-0.14896424114704132,9.5408935546875,2.5639655590057373
1776581777935,accel,-0.22445641458034515,9.537077903747559,2.6365396976470947
1776581777935,accel,-0.3212719261646271,9.434351921081543,2.6559178829193115
1776581777935,accel,-0.3654898405075073,9.376965522766113,2.670881748199463
1776581777935,accel,-0.31446343660354614,9.36357307434082,2.7235541343688965
1776581777935,accel,-0.1273415982723236,9.347637176513672,2.764629602432251
1776581777935,accel,0.12584522366523743,9.290400505065918,2.9682116508483887
1776581777935,accel,0.27249008417129517,9.278279304504395,3.2493057250976562
1776581777935,accel,0.18644845485687256,9.28419017791748,3.284919500350952
1776581777935,accel,-0.03292027488350868,9.318008422851562,3.258209228515625
1776581777935,accel,-0.21869535744190216,9.405771255493164,3.1805472373962402
1776581777935,accel,-0.24981997907161713,9.476025581359863,2.952723979949951
1776581777935,accel,-0.20597615838050842,9.524582862854004,2.7584197521209717
1776581777935,accel,-0.1719336062669754,9.486724853515625,2.6740987300872803
1776581777935,accel,-0.08140286058187485,9.453056335449219,2.704026460647583
1776581777935,accel,0.13377602398395538,9.40060806274414,2.61357045173645
1776581777935,accel,0.3000982105731964,9.408090591430664,2.5030629634857178
1776581777935,accel,0.2700210511684418,9.452083587646484,2.5712978839874268
1776581777935,accel,0.20956747233867645,9.421557426452637,2.7322330474853516
1776581777935,accel,0.057311203330755234,9.336264610290527,2.880523920059204
1776581777935,accel,-0.04489128291606903,9.310526847839355,3.0604631900787354
1776581777935,accel,-0.14440028369426727,9.325789451599121,3.1569793224334717
1776581777935,accel,-0.22916999459266663,9.338957786560059,3.1711201667785645
1776581777935,accel,-0.27899932861328125,9.3643217086792,3.1162030696868896
1776581777937,accel,-0.25819969177246094,9.353996276855469,3.0039000511169434
1776581777946,accel,-0.11424831300973892,9.298405647277832,2.8367550373077393
1776581777956,accel,0.015263035893440247,9.265411376953125,2.689960479736328
1776581777966,accel,0.05656301602721214,9.281646728515625,2.5241620540618896
1776581777973,accel,0.008978256024420261,9.323619842529297,2.4991724491119385
1776581777981,accel,0.00553659163415432,9.358485221862793,2.7347769737243652
1776581777992,accel,-0.008379706181585789,9.353023529052734,2.9019219875335693
1776581778001,accel,-0.1307084560394287,9.376441955566406,3.042656183242798
1776581778011,accel,-0.21338322758674622,9.408390045166016,3.128847599029541
1776581778012,gyro,-0.037721093744039536,0.015521439723670483,-0.016670558601617813
1776581778021,accel,-0.20313304662704468,9.394847869873047,3.2350902557373047
